TREAT;PLOT;YEAR;MONTH;JDAY;FFT;TTS;TT_ENC;HT_SOILC;CET_SOIL;TT_SOILC;FFH;TH_ENC;HH_SOILC;CEH_SOIL;TH_SOILC;FHprcn;FAprcn;FFA;TENVIRON;TSOIL;TFLSOIL;RAINFALL;WCSOIL;EMOIST;CO2gmonth
UE;1;2022;13;386;1.536;21;20;12.9;NA;20.6;1.046;20;12.9;NA;20.6;68.09895833;31.90104167;0.49;16.3162052;12.64212074;-2.732227823;72.9;0.154950045;19.3860905;175.177728
UE;1;2022;15;453;1.539;19;13;4.01;1.01;30.09;0.936;13;3;TD;22.11;60.81871345;39.18128655;0.603;13.09194213;12.35418356;1.054762731;117;0.175380556;26.3775419;175.519872
UE;3;2022;15;453;1.562;17;13;4.01;1.01;30.09;0.493;13;4.01;1.01;30.09;31.56209987;68.43790013;1.069;13.09194213;12.35418356;1.054762731;117;0.175380556;26.3775419;178.142976
UE;5;2021;7;210;1.58;15;8;40.93;0.57;10.1;0.63;11;29.8;0.43;10.93;39.87341772;60.12658228;0.95;8.076010789;9.495588486;1.202239023;116;0.273050179;34.59893772;180.19584
UE;1;2021;9;273;1.6;18;16;NA;NA;NA;1.02;15;NA;NA;NA;63.75;36.25;0.58;13.98630648;10.02274398;-0.770357407;112.7;0.324565741;47.44897917;182.4768
UE;5;2021;9;273;1.611;16;16;NA;NA;NA;0.75;16;28.76;0.46;15.28;46.55493482;53.44506518;0.861;13.98630648;10.02274398;-0.770357407;112.7;0.324565741;47.44897917;183.731328
UE;5;2021;4;116;1.64;20;19;14.8;NA;21.23;0.87;21.15;NA;NA;NA;53.04878049;46.95121951;0.77;10.57299123;12.86702569;0.873260417;118.4;0.152616898;4.847590278;187.03872
UE;3;2021;10;282;1.64;20.9;19;9.1;TD;20.9;0.943;19;19.23;0.72;23.33;57.5;42.5;0.697;15.4688172;10.88723096;-2.263324821;62.7;0.184021953;50.38998499;187.03872
UE;2;2021;10;282;1.68;21.2;19;NA;NA;NA;1.17;19;44.87;0.51;15.6;69.64285714;30.35714286;0.51;15.4688172;10.88723096;-2.263324821;62.7;0.184021953;50.38998499;191.60064
UE;4;2021;7;210;1.68;18;8;25;0.69;10.93;0.825;8;NA;NA;NA;49.10714286;50.89285714;0.855;8.076010789;9.495588486;1.202239023;116;0.273050179;34.59893772;191.60064
UE;5;2021;3;65;1.7;17;19;9.4;NA;14.66;1.028;23.15;9.4;NA;14.66;60.47058824;39.52941176;0.672;11.9149181;12.52240684;-2.973684162;7.9;0.105812612;14.16234407;193.8816
